#Mouse Gene	Human Gene	Source
Izumo1	IZUMO1	MGI, PanEnsembl, HomoloGene
Hcn4	HCN4	MGI, PanEnsembl, HomoloGene
Eif5b	EIF5B	MGI, PanEnsembl, HomoloGene
Cyp4f14	CYP4F12	MGI, PanEnsembl, HomoloGene
Lats1	LATS1	MGI, PanEnsembl, HomoloGene
Pcbp3	PCBP3	MGI, PanEnsembl, HomoloGene
Gm7173	CFAP47	PanEnsembl
Mfsd13a	MFSD13A	MGI
Tmem180	MFSD13A	PanEnsembl, HomoloGene
Mx2	MX1	PanEnsembl
Mx1	MX1	PanEnsembl
Rbpjl	RBPJL	MGI, PanEnsembl, HomoloGene
Ccl25	CCL25	MGI, PanEnsembl, HomoloGene
Ssx2ip	SSX2IP	MGI, PanEnsembl, HomoloGene
Uprt	UPRT	MGI, PanEnsembl, HomoloGene
Tceb2	ELOB	PanEnsembl
Osbpl5	OSBPL5	MGI, PanEnsembl, HomoloGene
Foxo6	FOXO6	MGI, PanEnsembl, HomoloGene
Lrrc57	LRRC57	MGI, PanEnsembl, HomoloGene
Rgs10	RGS10	MGI, PanEnsembl, HomoloGene
Rfc5	RFC5	MGI, PanEnsembl, HomoloGene
Atp6ap1	ATP6AP1	MGI, PanEnsembl, HomoloGene
Foxo4	FOXO4	MGI, PanEnsembl, HomoloGene
Syp	SYP	MGI, PanEnsembl, HomoloGene
Ttc22	TTC22	MGI, PanEnsembl, HomoloGene
Tsku	TSKU	MGI, PanEnsembl, HomoloGene
Pnpla6	PNPLA6	MGI, PanEnsembl, HomoloGene
Efcab1	EFCAB1	MGI, PanEnsembl, HomoloGene
Sil1	SIL1	MGI, PanEnsembl, HomoloGene
Tnfaip8l1	TNFAIP8L1	MGI, PanEnsembl, HomoloGene
Ccno	CCNO	MGI, PanEnsembl, HomoloGene
C530008M17Rik	CRACD	PanEnsembl
Rbm7	RBM7	MGI, PanEnsembl, HomoloGene
Cyb561a3	CYB561A3	MGI, PanEnsembl, HomoloGene
Dhx37	DHX37	MGI, PanEnsembl, HomoloGene
Chrna2	CHRNA2	MGI, PanEnsembl, HomoloGene
Cdca7	CDCA7	MGI, PanEnsembl, HomoloGene
Cbx4	CBX4	MGI, PanEnsembl, HomoloGene
Tex10	TEX10	MGI, PanEnsembl, HomoloGene
Ap5b1	AP5B1	MGI, PanEnsembl, HomoloGene
Slc44a2	SLC44A2	MGI, PanEnsembl, HomoloGene
Reep2	REEP2	MGI, PanEnsembl, HomoloGene
Mylpf	MYLPF	MGI, PanEnsembl, HomoloGene
Arhgap45	ARHGAP45	MGI
Hmha1	ARHGAP45	PanEnsembl, HomoloGene
Amdhd2	AMDHD2	MGI, PanEnsembl, HomoloGene
Stk32b	STK32B	MGI, PanEnsembl, HomoloGene
Mid1	MID1	MGI, PanEnsembl, HomoloGene
Gm21857	MID1	PanEnsembl
Gfi1b	GFI1B	MGI, PanEnsembl, HomoloGene
Depdc1b	DEPDC1B	MGI, PanEnsembl, HomoloGene
Fam3b	FAM3B	MGI, PanEnsembl, HomoloGene
Cntnap3	CNTNAP3	MGI, PanEnsembl, HomoloGene
Ints10	INTS10	MGI, PanEnsembl, HomoloGene
Lima1	LIMA1	MGI, PanEnsembl, HomoloGene
Dsn1	DSN1	MGI, PanEnsembl, HomoloGene
Sdf4	SDF4	MGI, PanEnsembl, HomoloGene
Slc2a12	SLC2A12	MGI, PanEnsembl, HomoloGene
Swap70	SWAP70	MGI, PanEnsembl, HomoloGene
Usp20	USP20	MGI, PanEnsembl, HomoloGene
Taf3	TAF3	MGI, PanEnsembl, HomoloGene
Apc2	APC2	MGI, PanEnsembl, HomoloGene
Cyb5a	CYB5A	MGI
Cyb5	CYB5A	PanEnsembl, HomoloGene
B3galt6	B3GALT6	MGI, PanEnsembl, HomoloGene
Tmem175	TMEM175	MGI, PanEnsembl, HomoloGene
Adm	ADM	MGI, PanEnsembl, HomoloGene
Irf2bpl	IRF2BPL	MGI, PanEnsembl, HomoloGene
1700007K13Rik	C9orf116	MGI, PanEnsembl, HomoloGene
Flcn	FLCN	MGI, PanEnsembl, HomoloGene
Med16	MED16	MGI, PanEnsembl, HomoloGene
Tstd1	TSTD1	MGI, PanEnsembl, HomoloGene
Mrpl50	MRPL50	MGI, PanEnsembl, HomoloGene
Kndc1	KNDC1	MGI, PanEnsembl, HomoloGene
Skor1	SKOR1	PanEnsembl
Dcp1b	DCP1B	MGI, PanEnsembl, HomoloGene
Nxnl2	NXNL2	MGI, PanEnsembl, HomoloGene
Hdgf	HDGF	MGI, PanEnsembl, HomoloGene
Crtap	CRTAP	MGI, PanEnsembl, HomoloGene
Zfp575	ZNF575	MGI, PanEnsembl, HomoloGene
Six4	SIX4	MGI, PanEnsembl, HomoloGene
Cdyl	CDYL	MGI, PanEnsembl, HomoloGene
Zfp618	ZNF618	MGI, PanEnsembl, HomoloGene
Nf2	NF2	MGI, PanEnsembl, HomoloGene
Ptgis	PTGIS	MGI, PanEnsembl, HomoloGene
Mpv17l	MPV17L	MGI, PanEnsembl, HomoloGene
Maff	MAFF	MGI, PanEnsembl, HomoloGene
Timp2	TIMP2	MGI, PanEnsembl, HomoloGene
Col27a1	COL27A1	MGI, PanEnsembl, HomoloGene
Adcyap1r1	ADCYAP1R1	MGI, PanEnsembl, HomoloGene
Fosb	FOSB	MGI, PanEnsembl, HomoloGene
Cpn1	CPN1	MGI, PanEnsembl, HomoloGene
Arrdc5	ARRDC5	MGI, PanEnsembl, HomoloGene
Sox14	SOX14	MGI, PanEnsembl, HomoloGene
Dpagt1	DPAGT1	MGI, PanEnsembl, HomoloGene
Tmem203	TMEM203	MGI, PanEnsembl, HomoloGene
Emc7	EMC7	MGI, PanEnsembl, HomoloGene
Abcb6	ABCB6	MGI, PanEnsembl, HomoloGene
Galnt12	GALNT12	MGI, PanEnsembl, HomoloGene
Sctr	SCTR	MGI, PanEnsembl, HomoloGene
Smad7	SMAD7	MGI, PanEnsembl, HomoloGene
Cbll1	CBLL1	MGI, PanEnsembl, HomoloGene
Kcna6	KCNA6	MGI, PanEnsembl, HomoloGene
Lrrc47	LRRC47	MGI, PanEnsembl, HomoloGene
Morn3	MORN3	MGI, PanEnsembl, HomoloGene
Nudt8	NUDT8	MGI, PanEnsembl, HomoloGene
Dlgap4	DLGAP4	MGI, PanEnsembl, HomoloGene
Lrrk1	LRRK1	MGI, PanEnsembl, HomoloGene
Mtcp1	MTCP1	PanEnsembl
Rpain	RPAIN	MGI, PanEnsembl, HomoloGene
Upk1a	UPK1A	MGI, PanEnsembl, HomoloGene
Trim16	TRIM16L	PanEnsembl
Mfsd10	MFSD10	MGI, PanEnsembl, HomoloGene
Scamp4	SCAMP4	MGI, PanEnsembl, HomoloGene
2810459M11Rik	C2orf72	MGI, PanEnsembl, HomoloGene
Klhl3	KLHL3	MGI, PanEnsembl, HomoloGene
Trpc3	TRPC3	MGI, PanEnsembl, HomoloGene
Baiap3	BAIAP3	MGI, PanEnsembl, HomoloGene
Prtn3	PRTN3	MGI, PanEnsembl, HomoloGene
Noa1	NOA1	MGI, PanEnsembl, HomoloGene
Gmeb2	GMEB2	MGI, PanEnsembl, HomoloGene
AU022252	C1orf50	MGI, PanEnsembl, HomoloGene
Cpne6	CPNE6	MGI, PanEnsembl, HomoloGene
Jund	JUND	MGI, PanEnsembl, HomoloGene
Wnt6	WNT6	MGI, PanEnsembl, HomoloGene
Lrp3	LRP3	MGI, PanEnsembl, HomoloGene
Serpina1e	SERPINA1	MGI, PanEnsembl
Serpina1b	SERPINA1	PanEnsembl
Serpina1a	SERPINA1	PanEnsembl
Serpina1c	SERPINA1	PanEnsembl, HomoloGene
Serpina1d	SERPINA1	PanEnsembl
Serpina1f	SERPINA1	PanEnsembl
Gm46	SERPINA1	PanEnsembl
Baiap2	BAIAP2	MGI, PanEnsembl, HomoloGene
Rabif	RABIF	MGI, PanEnsembl, HomoloGene
Rrad	RRAD	MGI, PanEnsembl, HomoloGene
Taf7l	TAF7L	MGI, PanEnsembl, HomoloGene
4933416C03Rik	TAF7L	PanEnsembl
Igsf8	IGSF8	MGI, PanEnsembl, HomoloGene
Cybrd1	CYBRD1	MGI, PanEnsembl, HomoloGene
Pcdh8	PCDH8	MGI, PanEnsembl, HomoloGene
Pnpla2	PNPLA2	MGI, PanEnsembl, HomoloGene
Snrk	SNRK	MGI, PanEnsembl, HomoloGene
Aldh3b1	ALDH3B1	MGI, PanEnsembl, HomoloGene
Fam161b	FAM161B	MGI, PanEnsembl, HomoloGene
Ormdl3	ORMDL3	MGI, PanEnsembl, HomoloGene
Kcnf1	KCNF1	MGI, PanEnsembl, HomoloGene
Snx15	SNX15	MGI, PanEnsembl, HomoloGene
Limk1	LIMK1	MGI, PanEnsembl, HomoloGene
Sema6b	SEMA6B	MGI, PanEnsembl, HomoloGene
Med28	MED28	MGI, PanEnsembl, HomoloGene
Fhad1	FHAD1	MGI, PanEnsembl, HomoloGene
Golt1a	GOLT1A	MGI, PanEnsembl, HomoloGene
GOLT1A	GOLT1A	PanEnsembl
Hrh1	HRH1	MGI, PanEnsembl, HomoloGene
Mfrp	MFRP	MGI, PanEnsembl, HomoloGene
Bloc1s6	BLOC1S6	MGI, PanEnsembl, HomoloGene
Fev	FEV	MGI, PanEnsembl, HomoloGene
Scn8a	SCN8A	MGI, PanEnsembl, HomoloGene
Tvp23a	TVP23A	MGI, PanEnsembl, HomoloGene
Inpp5d	INPP5D	MGI, PanEnsembl, HomoloGene
Ube2q1	UBE2Q1	MGI, PanEnsembl, HomoloGene
Ppp4c	PPP4C	MGI, PanEnsembl, HomoloGene
Ctcf	CTCF	MGI, PanEnsembl, HomoloGene
Entpd4b	ENTPD4	MGI
Entpd4	ENTPD4	PanEnsembl, HomoloGene
Actc1	ACTC1	MGI, PanEnsembl, HomoloGene
H1f0	H1-0	MGI, PanEnsembl, HomoloGene
Tmco4	TMCO4	MGI, PanEnsembl, HomoloGene
Krt74	KRT74	PanEnsembl
Clec2l	CLEC2L	MGI, PanEnsembl, HomoloGene
Slc5a11	SLC5A11	MGI, PanEnsembl, HomoloGene
Cacna1h	CACNA1H	MGI, PanEnsembl, HomoloGene
Gabpb2	GABPB2	MGI, PanEnsembl, HomoloGene
Chrnb1	CHRNB1	MGI, PanEnsembl, HomoloGene
Nap1l4	NAP1L4	MGI, PanEnsembl, HomoloGene
Dvl3	DVL3	MGI, PanEnsembl, HomoloGene
Tcf4	TCF4	MGI, PanEnsembl, HomoloGene
Tcf21	TCF21	MGI, PanEnsembl, HomoloGene
Fam163b	FAM163B	MGI, PanEnsembl, HomoloGene
Ctu1	CTU1	MGI, PanEnsembl, HomoloGene
Ppp1r3d	PPP1R3D	MGI, PanEnsembl, HomoloGene
Olig1	OLIG1	MGI, PanEnsembl, HomoloGene
Crygs	CRYGS	MGI, PanEnsembl, HomoloGene
Prmt7	PRMT7	MGI, PanEnsembl, HomoloGene
Fars2	FARS2	MGI, PanEnsembl, HomoloGene
2410018M08Rik	FAM200B	PanEnsembl
Npy	NPY	MGI, PanEnsembl, HomoloGene
Ptk6	PTK6	MGI, PanEnsembl, HomoloGene
Dcaf8	DCAF8	MGI, PanEnsembl, HomoloGene
2310022B05Rik	C1orf198	MGI, PanEnsembl, HomoloGene
Star	STAR	MGI, PanEnsembl, HomoloGene
Adrb1	ADRB1	MGI, PanEnsembl, HomoloGene
Sfswap	SFSWAP	MGI, PanEnsembl, HomoloGene
Wtip	WTIP	MGI, PanEnsembl, HomoloGene
Clca1	CLCA1	MGI
Clca3	CLCA1	PanEnsembl, HomoloGene
Abtb1	ABTB1	MGI, PanEnsembl, HomoloGene
Ankrd65	ANKRD65	MGI, HomoloGene
Skor2	SKOR2	MGI, PanEnsembl, HomoloGene
Ctu2	CTU2	MGI, PanEnsembl, HomoloGene
Mbnl3	MBNL3	MGI, PanEnsembl, HomoloGene
Slc25a11	SLC25A11	MGI, PanEnsembl, HomoloGene
Zfp36l2	ZFP36L2	MGI, PanEnsembl, HomoloGene
Shisa3	SHISA3	MGI, PanEnsembl, HomoloGene
Mars2	MARS2	MGI, PanEnsembl, HomoloGene
Cfap74	CFAP74	MGI
2010015L04Rik	CFAP74	HomoloGene
Ucp3	UCP3	MGI, PanEnsembl, HomoloGene
Insm1	INSM1	MGI, PanEnsembl, HomoloGene
Smad6	SMAD6	MGI, PanEnsembl, HomoloGene
Aprt	APRT	MGI, PanEnsembl, HomoloGene
Hspb6	HSPB6	MGI, PanEnsembl, HomoloGene
Frat1	FRAT1	MGI, HomoloGene
Peg12	FRAT1	PanEnsembl
Actrt2	ACTRT2	MGI, PanEnsembl, HomoloGene
Asna1	GET3	MGI, PanEnsembl, HomoloGene
Tnfaip2	TNFAIP2	MGI, PanEnsembl, HomoloGene
Cldnd2	CLDND2	MGI, PanEnsembl, HomoloGene
Calm4	CALML5	MGI, HomoloGene
Dmwd	DMWD	MGI, PanEnsembl, HomoloGene
Setd6	SETD6	MGI, PanEnsembl, HomoloGene
Matn1	MATN1	MGI, PanEnsembl, HomoloGene
Ost4	OST4	PanEnsembl
Dhx15	DHX15	MGI, PanEnsembl, HomoloGene
Cdc25b	CDC25B	MGI, PanEnsembl, HomoloGene
Sp9	SP9	MGI, PanEnsembl, HomoloGene
Hdgfl1	HDGFL1	PanEnsembl
Dgcr6	DGCR6L	PanEnsembl
Egfl8	EGFL8	MGI, PanEnsembl, HomoloGene
1110065P20Rik	C1orf122	PanEnsembl
Mybph	MYBPH	MGI, PanEnsembl, HomoloGene
Ccbe1	CCBE1	MGI, PanEnsembl, HomoloGene
Siglec15	SIGLEC15	MGI, PanEnsembl, HomoloGene
Smpd4	SMPD4	MGI, PanEnsembl, HomoloGene
Sstr4	SSTR4	MGI, PanEnsembl, HomoloGene
Hoxa4	HOXA4	MGI, PanEnsembl, HomoloGene
Sp6	SP6	MGI, PanEnsembl, HomoloGene
Angptl6	ANGPTL6	MGI, PanEnsembl, HomoloGene
Kcnd2	KCND2	MGI, PanEnsembl, HomoloGene
Zfp493	ZNF254	PanEnsembl
B3galnt1	B3GALNT1	MGI, PanEnsembl, HomoloGene
Pmaip1	PMAIP1	PanEnsembl
Ttc34	TTC34	MGI, PanEnsembl, HomoloGene
Frat2	FRAT2	MGI, PanEnsembl, HomoloGene
Emx2	EMX2	MGI, PanEnsembl, HomoloGene
Crkl	CRKL	MGI, PanEnsembl, HomoloGene
Entpd8	ENTPD8	MGI, PanEnsembl, HomoloGene
Nit2	NIT2	MGI, PanEnsembl, HomoloGene
Septin12	SEPTIN12	MGI
Sept12	SEPTIN12	PanEnsembl, HomoloGene
Fzd2	FZD2	MGI, PanEnsembl, HomoloGene
Pomk	POMK	MGI, PanEnsembl, HomoloGene
Cyth4	CYTH4	MGI, PanEnsembl, HomoloGene
Cald1	CALD1	PanEnsembl
Ggt6	GGT6	MGI, PanEnsembl, HomoloGene
Piwil2	PIWIL2	MGI, PanEnsembl, HomoloGene
Chrm1	CHRM1	MGI, PanEnsembl, HomoloGene
Inip	INIP	MGI, PanEnsembl, HomoloGene
Erf	ERF	MGI, PanEnsembl, HomoloGene
Tmsb15b1	TMSB15A	PanEnsembl
Tmsb15b2	TMSB15A	PanEnsembl
Tmsb15l	TMSB15A	PanEnsembl
Plcxd1	PLCXD1	PanEnsembl
Krt34	KRT34	MGI, PanEnsembl, HomoloGene
Krt33a	KRT34	PanEnsembl
Krt33b	KRT34	PanEnsembl
Krt31	KRT34	PanEnsembl
Nat2	NAT1	MGI, PanEnsembl, HomoloGene
Nat1	NAT1	PanEnsembl
Nat3	NAT1	PanEnsembl
Tor4a	TOR4A	MGI, PanEnsembl, HomoloGene
Wdfy1	WDFY1	MGI, PanEnsembl, HomoloGene
Pllp	PLLP	MGI, PanEnsembl, HomoloGene
Trf	TF	MGI, PanEnsembl, HomoloGene
Gm20425	TF	PanEnsembl
Pate3	PATE3	MGI
Gm17365	PATE3	PanEnsembl, HomoloGene
Cptp	CPTP	MGI
Gltpd1	CPTP	PanEnsembl, HomoloGene
Btbd16	BTBD16	MGI, PanEnsembl, HomoloGene
Slc16a13	SLC16A13	MGI, PanEnsembl, HomoloGene
Crybb2	CRYBB2	MGI, PanEnsembl, HomoloGene
Naa38	NAA38	MGI, HomoloGene
Lsmd1	NAA38	PanEnsembl
Comtd1	COMTD1	MGI, PanEnsembl, HomoloGene
Sqle	SQLE	MGI, PanEnsembl, HomoloGene
H2ac13	H2AC8	MGI
Hist1h2ai	H2AC8	HomoloGene
Il11	IL11	MGI, PanEnsembl, HomoloGene
Ube2ql1	UBE2QL1	MGI, PanEnsembl, HomoloGene
Ywhag	YWHAG	MGI, PanEnsembl, HomoloGene
Tmsb15b1	TMSB15B	PanEnsembl
Tmsb15b2	TMSB15B	PanEnsembl
Tmsb15l	TMSB15B	PanEnsembl
Heatr6	HEATR6	MGI, PanEnsembl, HomoloGene
Pde4c	PDE4C	MGI, PanEnsembl, HomoloGene
Tspan13	TSPAN13	MGI, PanEnsembl, HomoloGene
Zfp746	ZNF746	MGI, PanEnsembl, HomoloGene
Sort1	SORT1	MGI, PanEnsembl, HomoloGene
Ddx27	DDX27	MGI, PanEnsembl, HomoloGene
Qpctl	QPCTL	MGI, PanEnsembl, HomoloGene
Epor	EPOR	MGI, PanEnsembl, HomoloGene
Dscaml1	DSCAML1	MGI, PanEnsembl, HomoloGene
Rax	RAX	MGI, PanEnsembl, HomoloGene
Sstr3	SSTR3	MGI, HomoloGene
Chic1	CHIC1	MGI, PanEnsembl, HomoloGene
Id1	ID1	MGI, PanEnsembl, HomoloGene
Itga7	ITGA7	MGI, PanEnsembl, HomoloGene
Tril	TRIL	MGI, HomoloGene
Actr5	ACTR5	MGI, PanEnsembl, HomoloGene
Rpusd4	RPUSD4	MGI, PanEnsembl, HomoloGene
Taf5l	TAF5L	MGI, PanEnsembl, HomoloGene
Ccdc85c	CCDC85C	MGI, PanEnsembl, HomoloGene
Zfp524	ZNF524	MGI, PanEnsembl, HomoloGene
Fah	FAH	MGI, PanEnsembl, HomoloGene
Fry	FRY	MGI, PanEnsembl, HomoloGene
Arl4c	ARL4C	MGI, PanEnsembl, HomoloGene
Fam174c	FAM174C	MGI
1600002K03Rik	FAM174C	PanEnsembl, HomoloGene
Coa7	COA7	MGI, HomoloGene
Selrc1	COA7	PanEnsembl
Mtmr4	MTMR4	MGI, PanEnsembl, HomoloGene
Bop1	BOP1	MGI, HomoloGene
Zdhhc8	ZDHHC8	MGI, PanEnsembl, HomoloGene
Lmo2	LMO2	MGI, PanEnsembl, HomoloGene
Ins2	INS	MGI, PanEnsembl, HomoloGene
Ins1	INS	PanEnsembl
Rbm20	RBM20	MGI, PanEnsembl, HomoloGene
Col2a1	COL2A1	MGI, PanEnsembl, HomoloGene
Fignl2	FIGNL2	MGI, HomoloGene
Ddah1	DDAH1	MGI, PanEnsembl, HomoloGene
Dad1	DAD1	MGI, PanEnsembl, HomoloGene
Btn2a2	BTN2A2	MGI, PanEnsembl, HomoloGene
Slc9a1	SLC9A1	MGI, PanEnsembl, HomoloGene
Gm17455	C10orf105	MGI, PanEnsembl, HomoloGene
Tfap2e	TFAP2E	MGI, PanEnsembl, HomoloGene
Lefty2	LEFTY2	MGI, PanEnsembl, HomoloGene
Lefty1	LEFTY2	PanEnsembl
Alppl2	ALPG	MGI, PanEnsembl, HomoloGene
Alpi	ALPG	PanEnsembl
Akp3	ALPG	PanEnsembl
Mxi1	MXI1	MGI, PanEnsembl, HomoloGene
Tiam1	TIAM1	MGI, PanEnsembl, HomoloGene
Gbx1	GBX1	MGI, PanEnsembl, HomoloGene
Gna12	GNA12	MGI, PanEnsembl, HomoloGene
Sox12	SOX12	MGI, PanEnsembl, HomoloGene
Cdcp1	CDCP1	MGI, PanEnsembl, HomoloGene
Npbwr1	NPBWR1	MGI, PanEnsembl, HomoloGene
Dlg5	DLG5	MGI, PanEnsembl, HomoloGene
Pde12	PDE12	MGI, PanEnsembl, HomoloGene
H2ac20	H2AC20	MGI
Hist2h2ac	H2AC20	PanEnsembl, HomoloGene
Hmx1	HMX1	MGI, PanEnsembl, HomoloGene
Cox16	COX16	MGI, PanEnsembl, HomoloGene
Gli1	GLI1	MGI, PanEnsembl, HomoloGene
Ube2c	UBE2C	MGI, PanEnsembl, HomoloGene
Lrrc59	LRRC59	MGI, PanEnsembl, HomoloGene
Ccm2l	CCM2L	MGI, PanEnsembl, HomoloGene
Icam1	ICAM1	MGI, PanEnsembl, HomoloGene
Ctf1	CTF1	MGI, PanEnsembl, HomoloGene
Smarcd3	SMARCD3	MGI, PanEnsembl, HomoloGene
Trim33	TRIM33	MGI, PanEnsembl, HomoloGene
Erfe	ERFE	MGI
Fam132b	ERFE	PanEnsembl, HomoloGene
Sct	SCT	PanEnsembl
Ncr1	NCR1	MGI, PanEnsembl, HomoloGene
Kcnq3	KCNQ3	MGI, PanEnsembl, HomoloGene
Ptpmt1	PTPMT1	MGI, HomoloGene
Rac3	RAC3	MGI, PanEnsembl, HomoloGene
P2rx4	P2RX4	MGI, PanEnsembl, HomoloGene
Pex26	PEX26	MGI, PanEnsembl, HomoloGene
Nkx6-1	NKX6-1	MGI, PanEnsembl, HomoloGene
Phldb1	PHLDB1	MGI, PanEnsembl, HomoloGene
Btbd1	BTBD1	MGI, PanEnsembl, HomoloGene
Vpreb3	VPREB3	MGI, PanEnsembl, HomoloGene
Eef2kmt	EEF2KMT	MGI
Fam86	EEF2KMT	PanEnsembl, HomoloGene
Stra8	STRA8	MGI, PanEnsembl, HomoloGene
Snx17	SNX17	MGI, PanEnsembl, HomoloGene
Tafa5	TAFA5	MGI
Fam19a5	TAFA5	PanEnsembl, HomoloGene
Slc25a22	SLC25A22	MGI, PanEnsembl, HomoloGene
Cdh23	CDH23	MGI, HomoloGene
Nr2e1	NR2E1	MGI, PanEnsembl, HomoloGene
Rhob	RHOB	MGI, PanEnsembl, HomoloGene
Siglec5	SIGLEC6	PanEnsembl
Tnk2	TNK2	MGI, PanEnsembl, HomoloGene
Cldn15	CLDN15	MGI, PanEnsembl, HomoloGene
Birc6	BIRC6	MGI, PanEnsembl, HomoloGene
Adamtsl2	ADAMTSL2	MGI, PanEnsembl, HomoloGene
Dync2li1	DYNC2LI1	MGI, PanEnsembl, HomoloGene
Tmx2	TMX2	MGI, PanEnsembl, HomoloGene
Gm5499	TMX2	PanEnsembl
Vax2	VAX2	MGI, PanEnsembl, HomoloGene
Pop5	POP5	MGI, PanEnsembl, HomoloGene
Ankrd40	ANKRD40	MGI, PanEnsembl, HomoloGene
Best2	BEST2	MGI, PanEnsembl, HomoloGene
Unc79	UNC79	MGI, PanEnsembl, HomoloGene
Rasl10b	RASL10B	MGI, HomoloGene
Slc16a14	SLC16A14	MGI, PanEnsembl, HomoloGene
Mgat3	MGAT3	MGI, PanEnsembl, HomoloGene
Oxct2a	OXCT2	PanEnsembl
Oxct2b	OXCT2	PanEnsembl
Kcnc1	KCNC1	MGI, PanEnsembl, HomoloGene
Egr4	EGR4	MGI, PanEnsembl, HomoloGene
Prokr2	PROKR2	MGI, PanEnsembl, HomoloGene
Rbms2	RBMS2	MGI, PanEnsembl, HomoloGene
Chrm4	CHRM4	MGI, PanEnsembl, HomoloGene
Ikbkg	IKBKG	MGI, HomoloGene
Pex1	PEX1	MGI, PanEnsembl, HomoloGene
Dgkd	DGKD	MGI, PanEnsembl, HomoloGene
Yipf2	YIPF2	MGI, PanEnsembl, HomoloGene
Fam168b	FAM168B	MGI, PanEnsembl, HomoloGene
Rps26	RPS26	MGI, PanEnsembl, HomoloGene
Rps26-ps1	RPS26	PanEnsembl
Stard10	STARD10	MGI, PanEnsembl, HomoloGene
Arfrp1	ARFRP1	MGI, PanEnsembl, HomoloGene
Dnajb1	DNAJB1	MGI, PanEnsembl, HomoloGene
Fbxo28	FBXO28	MGI, PanEnsembl, HomoloGene
Pdzd7	PDZD7	MGI, PanEnsembl, HomoloGene
Hbq1b	HBQ1	MGI, PanEnsembl, HomoloGene
Hbq1a	HBQ1	PanEnsembl
Mon1a	MON1A	MGI, PanEnsembl, HomoloGene
Arl10	ARL10	MGI, PanEnsembl, HomoloGene
Alkbh6	ALKBH6	MGI, PanEnsembl, HomoloGene
Cacna1a	CACNA1A	MGI, PanEnsembl, HomoloGene
Lamtor4	LAMTOR4	MGI, PanEnsembl, HomoloGene
Ovol1	OVOL1	MGI, PanEnsembl, HomoloGene
Plekhj1	PLEKHJ1	MGI, PanEnsembl, HomoloGene
Ppp1r3c	PPP1R3C	MGI, PanEnsembl, HomoloGene
Dapk3	DAPK3	MGI, PanEnsembl, HomoloGene
Irgq	IRGQ	MGI, PanEnsembl, HomoloGene
Trim17	TRIM17	MGI, PanEnsembl, HomoloGene
Ndst1	NDST1	MGI, PanEnsembl, HomoloGene
Fam50a	FAM50A	MGI, PanEnsembl, HomoloGene
Pcdh10	PCDH10	MGI, PanEnsembl, HomoloGene
Fbxl16	FBXL16	MGI, PanEnsembl, HomoloGene
Wiz	WIZ	MGI, PanEnsembl, HomoloGene
Septin9	SEPTIN9	MGI
Sept9	SEPTIN9	PanEnsembl, HomoloGene
Tesmin	TESMIN	MGI
Mtl5	TESMIN	PanEnsembl, HomoloGene
Mtmr14	MTMR14	MGI, PanEnsembl, HomoloGene
Cldn14	CLDN14	MGI, PanEnsembl, HomoloGene
Qpct	QPCT	MGI, PanEnsembl, HomoloGene
Asphd2	ASPHD2	MGI, PanEnsembl, HomoloGene
Osbpl8	OSBPL8	MGI, PanEnsembl, HomoloGene
Ism1	ISM1	MGI, PanEnsembl, HomoloGene
Fxn	FXN	MGI, PanEnsembl, HomoloGene
Efna2	EFNA2	MGI, PanEnsembl, HomoloGene
Thop1	THOP1	MGI, PanEnsembl, HomoloGene
Gpr45	GPR45	MGI, PanEnsembl, HomoloGene
Gbp7	GBP7	MGI, PanEnsembl, HomoloGene
Gbp3	GBP7	PanEnsembl
Pfkp	PFKP	MGI, PanEnsembl, HomoloGene
1190005I06Rik	C16orf74	MGI, PanEnsembl, HomoloGene
Gm27021	C16orf74	PanEnsembl
Mrfap1	MRFAP1	MGI, PanEnsembl, HomoloGene
Gm5814	MRFAP1	PanEnsembl
Pla2g4f	PLA2G4F	MGI, PanEnsembl, HomoloGene
Slc6a13	SLC6A13	MGI, PanEnsembl, HomoloGene
Lrcol1	LRCOL1	MGI, HomoloGene
Eef2k	EEF2K	MGI, PanEnsembl, HomoloGene
Pkd1	PKD1	MGI, PanEnsembl, HomoloGene
Galr1	GALR1	MGI, PanEnsembl, HomoloGene
Cacng6	CACNG6	MGI, PanEnsembl, HomoloGene
Ehhadh	EHHADH	MGI, PanEnsembl, HomoloGene
Nelfa	NELFA	MGI, PanEnsembl, HomoloGene
Map3k14	MAP3K14	MGI, HomoloGene
Tubg2	TUBG2	MGI, PanEnsembl, HomoloGene
Irx4	IRX4	MGI, PanEnsembl, HomoloGene
Dnm2	DNM2	MGI, PanEnsembl, HomoloGene
Vstm2l	VSTM2L	MGI, PanEnsembl, HomoloGene
Srsf10	SRSF10	MGI, PanEnsembl, HomoloGene
Dcaf15	DCAF15	MGI, PanEnsembl, HomoloGene
Paqr5	PAQR5	MGI, PanEnsembl, HomoloGene
Lrrc19	LRRC19	MGI, PanEnsembl, HomoloGene
En1	EN1	MGI, PanEnsembl, HomoloGene
Rhou	RHOU	MGI, PanEnsembl, HomoloGene
Gngt1	GNGT1	MGI, PanEnsembl, HomoloGene
Gpr26	GPR26	MGI, PanEnsembl, HomoloGene
Cd79b	CD79B	MGI, PanEnsembl, HomoloGene
Aipl1	AIPL1	MGI, PanEnsembl, HomoloGene
Ptprt	PTPRT	MGI, PanEnsembl, HomoloGene
Rpl7	RPL7	MGI, PanEnsembl, HomoloGene
